Name;ISIN;Ticker;Basis;Stueck
Southern Copper;US84265V1052;SNC.DE;156.3477;32
GE Vernova;US36828A1016;8GV.DE;581.3684;19
Constellation Energy;US21037T1097;C6E.DE;304.9000;17
Freeport McMoran;US35671D8570;FPM.DE;52.9200;96
Vertiv Holdings;US92537N1081;V1T.DE;212.5000;40
VanEck Morningstar DM Dividend;NL0011683594;NL0011683594.SG;48.2127;323
Bitcoin;EU000A2YZK67;BTC-EUR;30000.00;10
iShares Global Clean Energy;IE00B1XNHC34;IQQP.DE;9.0100;1065
iShares MSCI EM;IE00B4L5YC18;IQQL.DE;48.9440;205
Schneider Electric;FR0000121972;SND.DE;259.7500;32
Prysmian;IT0004176001;PRY.DE;97.4000;85
Xetra Gold;DE000A0S9GB0;4GLD.DE;136.5600;60
iShares Automation & Robotics;IE00BYZK4552;IE00BYZK4552.SG;13.9970;1600
L&G Global Robotics;IE00BMW3QX54;IE00BMW3QX54.SG;25.6500;689
VanEck Junior Gold Miners;IE00BQQP9G91;IE00BQQP9G91.SG;102.6400;49
Krane Humanoid & Embodied Intell.;IE000O6Z73N7;IE000O6Z73N7.SG;24.3700;400
